Q5_combined,Q6,Q21_2,Q22_2,Q23_2,Q24_2,Q25_2,Q26_2,Q27_2,Q28_2
1,1,99,83,100,100,100,100,96,100
1,1,100,100,100,100,100,100,100,100
1,1,79,79,79,79,50,81,82,60
1,1,88,100,100,100,92,93,100,100
1,1,86,99,100,83,95,97,100,100
1,1,89,50,90,70,70,69,69,71
1,1,100,85,84,51,88,89,90,87
1,1,60,61,69,64,65,71,74,77
1,1,100,100,100,0,100,100,100,100
1,1,82,85,75,71,70,80,80,70
1,1,100,99,100,98,52,97,100,100
1,1,100,100,100,100,100,100,100,100
1,1,51,74,51,88,51,94,79,51
1,1,80,80,80,50,50,80,99,80
1,1,100,100,100,100,100,100,100,100
1,1,100,100,100,100,100,100,100,100
1,1,92,92,91,80,93,92,94,96
1,1,88,89,92,77,98,100,93,100
1,1,100,100,100,100,100,100,100,100
1,1,100,81,98,82,83,92,100,78
1,1,93,100,84,59,74,77,97,82
